Representative,Chimeric.Count,Chimeric.Percentage
AAV.100002,6223,20.08
AAV.100001,5941,19.17
AAV.100011,3195,10.31
AAV.100005,1682,5.43
AAV.100003,1555,5.02
AAV.100006,1034,3.34
AAV.100039,828,2.67
AAV.100271,661,2.13
AAV.100008,583,1.88
AAV.100164,561,1.81
AAV.100048,441,1.42
AAV.100041,427,1.38
AAV.100089,423,1.37
AAV.100189,368,1.19
AAV.100078,323,1.04
AAV.100029,296,0.96
AAV.100132,280,0.9
AAV.100026,276,0.89
AAV.100316,270,0.87
AAV.101614,251,0.81
AAV.100457,224,0.72
AAV.101152,220,0.71
AAV.100019,210,0.68
AAV.100640,210,0.68
AAV.100948,190,0.61
AAV.101724,182,0.59
AAV.100699,162,0.52
AAV.101379,161,0.52
AAV.100831,127,0.41
AAV.100215,123,0.4
AAV.100762,122,0.39
AAV.166236,105,0.34
AAV.101628,98,0.32
AAV.100255,94,0.3
AAV.100637,88,0.28
AAV.178090,88,0.28
AAV.100573,81,0.26
AAV.154150,71,0.23
AAV.163220,71,0.23
AAV.100580,70,0.23
AAV.100680,66,0.21
AAV.152376,65,0.21
AAV.126623,65,0.21
AAV.175134,62,0.2
AAV.101381,61,0.2
AAV.100537,60,0.19
AAV.131126,58,0.19
AAV.101362,58,0.19
AAV.126152,58,0.19
AAV.176231,57,0.18
AAV.183435,54,0.17
AAV.120035,48,0.15
AAV.159056,48,0.15
AAV.137574,44,0.14
AAV.172658,44,0.14
AAV.114100,43,0.14
AAV.177462,43,0.14
AAV.103197,42,0.14
AAV.101278,38,0.12
AAV.101386,37,0.12
AAV.100618,36,0.12
AAV.100671,34,0.11
AAV.172887,33,0.11
AAV.177175,33,0.11
AAV.100811,32,0.1
AAV.100799,32,0.1
AAV.101746,31,0.1
AAV.100733,31,0.1
AAV.151860,30,0.1
AAV.101124,29,0.09
AAV.100177,29,0.09
AAV.101456,29,0.09
AAV.166501,28,0.09
AAV.122689,27,0.09
AAV.182459,27,0.09
AAV.141956,26,0.08
AAV.183239,26,0.08
AAV.172438,26,0.08
AAV.101187,25,0.08
AAV.183673,25,0.08
AAV.114474,25,0.08
AAV.113615,24,0.08
AAV.110878,24,0.08
AAV.100696,23,0.07
AAV.151177,22,0.07
AAV.106787,22,0.07
AAV.176892,20,0.06
AAV.143391,20,0.06
AAV.126174,20,0.06
AAV.172555,20,0.06
AAV.129987,19,0.06
AAV.165779,19,0.06
AAV.130066,18,0.06
AAV.167747,17,0.05
AAV.104050,17,0.05
AAV.101625,17,0.05
AAV.100978,16,0.05
AAV.182674,16,0.05
AAV.124948,15,0.05
AAV.176811,15,0.05
AAV.173015,15,0.05
AAV.159111,14,0.05
AAV.101181,14,0.05
AAV.161828,13,0.04
AAV.173552,12,0.04
AAV.114977,12,0.04
AAV.135998,12,0.04
AAV.170949,12,0.04
AAV.123661,12,0.04
AAV.126454,12,0.04
AAV.152321,12,0.04
AAV.165734,11,0.04
AAV.172329,11,0.04
AAV.165564,11,0.04
AAV.125284,11,0.04
AAV.115603,11,0.04
AAV.178500,11,0.04
AAV.133613,10,0.03
AAV.101382,9,0.03
AAV.117580,9,0.03
AAV.182870,9,0.03
AAV.179765,9,0.03
AAV.168961,9,0.03
AAV.144994,8,0.03
AAV.180469,7,0.02
AAV.178440,7,0.02
AAV.115461,7,0.02
AAV.180831,7,0.02
AAV.132144,7,0.02
AAV.110134,6,0.02
AAV.139157,6,0.02
AAV.117002,6,0.02
AAV.182364,6,0.02
AAV.125994,6,0.02
AAV.144313,6,0.02
AAV.123192,6,0.02
AAV.173420,6,0.02
AAV.183917,6,0.02
AAV.178438,6,0.02
AAV.115643,6,0.02
AAV.126385,5,0.02
AAV.177297,5,0.02
AAV.169855,5,0.02
AAV.177434,5,0.02
AAV.127679,5,0.02
AAV.108245,5,0.02
AAV.126520,5,0.02
AAV.122500,5,0.02
AAV.126108,5,0.02
AAV.129270,5,0.02
AAV.161980,5,0.02
AAV.179734,5,0.02
AAV.175602,5,0.02
AAV.182047,5,0.02
AAV.173229,5,0.02
AAV.154235,4,0.01
AAV.126671,4,0.01
AAV.127572,4,0.01
AAV.134485,4,0.01
AAV.172743,4,0.01
AAV.175606,4,0.01
AAV.160971,4,0.01
AAV.105461,4,0.01
AAV.136304,4,0.01
AAV.163233,4,0.01
AAV.162090,4,0.01
AAV.166352,4,0.01
AAV.177264,4,0.01
AAV.175809,4,0.01
AAV.123375,4,0.01
AAV.181116,4,0.01
AAV.137060,3,0.01
AAV.168873,3,0.01
AAV.162565,3,0.01
AAV.156312,3,0.01
AAV.126522,3,0.01
AAV.154414,3,0.01
AAV.168464,3,0.01
AAV.169766,3,0.01
AAV.176743,3,0.01
AAV.173233,3,0.01
AAV.165978,2,0.01
AAV.122782,2,0.01
AAV.117176,2,0.01
AAV.184866,2,0.01
AAV.126271,2,0.01
AAV.171153,2,0.01
AAV.144517,2,0.01
AAV.183752,2,0.01
AAV.182387,2,0.01
AAV.182388,2,0.01
AAV.129353,2,0.01
AAV.135383,2,0.01
AAV.151492,2,0.01
AAV.183772,2,0.01
AAV.151665,2,0.01
AAV.166888,2,0.01
AAV.103387,2,0.01
AAV.116877,2,0.01
AAV.110197,2,0.01
AAV.108584,2,0.01
AAV.106643,2,0.01
AAV.129734,2,0.01
AAV.161603,1,0
AAV.178098,1,0
AAV.127489,1,0
AAV.157946,1,0
AAV.176104,1,0
AAV.180238,1,0
AAV.116128,1,0
AAV.186555,1,0
AAV.182685,1,0
AAV.127086,1,0
AAV.126948,1,0
AAV.149367,1,0
AAV.150605,1,0
AAV.161109,1,0
AAV.177756,1,0
AAV.181462,1,0
AAV.106826,1,0
AAV.117112,1,0
AAV.131635,1,0
AAV.110461,1,0
AAV.186887,1,0
AAV.149039,1,0
AAV.150466,1,0
AAV.163235,1,0
AAV.123218,1,0
AAV.162122,1,0
AAV.140990,1,0
AAV.120618,1,0
AAV.145421,1,0
AAV.182213,1,0
AAV.106308,1,0
AAV.174665,1,0
AAV.181606,1,0
AAV.108567,1,0
AAV.182389,1,0
AAV.111325,1,0
AAV.125415,1,0
AAV.172305,1,0
AAV.110099,1,0
AAV.127671,1,0
AAV.158741,1,0
AAV.157653,1,0
AAV.115309,1,0
AAV.123793,1,0
AAV.104620,1,0
AAV.150516,1,0
AAV.171728,1,0
AAV.165501,1,0
AAV.126145,1,0
AAV.183213,1,0
AAV.134382,1,0
AAV.178874,1,0
AAV.123227,1,0
AAV.117941,1,0
AAV.110886,1,0
AAV.134439,1,0
AAV.127314,1,0
AAV.114374,1,0
AAV.178444,1,0
